Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW,acidgas_Fv,H2S,SO2OUT,H2SOUT,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S,acidgas_CO2,acidgas_H2O,acidgas_H2S
123,OK,,180.0,111.9993672,6.4959633,137.222222,123.6,2434.312968,53.671507,0.028028576,2.45563282,0.01532895,0.000363501,83.6,1.6722,0.015692451,0.285675,0.323196,0.391128
124,OK,,180.0,111.9993672,6.4959633,138.333333,123.6,2454.024002,54.1060941,0.018619002,2.87908881,0.017904054,0.000240194,83.6,1.6722,0.018144248,0.285675,0.323196,0.391128
125,OK,,180.0,111.9993672,6.4959633,139.444444,123.6,2473.735036,54.5406812,0.01336009,3.3074267,0.020488899,0.00017143,83.6,1.6722,0.020660328,0.285675,0.323196,0.391128
126,OK,,180.0,111.9993672,6.4959633,140.555556,123.6,2493.446088,54.9752683,0.009675202,3.74297233,0.023097251,0.00012348,83.6,1.6722,0.023220731,0.285675,0.323196,0.391128
127,OK,,180.0,111.9993672,6.4959633,141.666667,123.6,2513.157123,55.4098554,0.007233897,4.16720855,0.02561579,9.18e-05,83.6,1.6722,0.025707615,0.285675,0.323196,0.391128
128,OK,,180.0,111.9993672,6.4959633,142.777778,123.6,2532.868157,55.8444425,0.005397814,4.62035259,0.028289127,6.81e-05,83.6,1.6722,0.028357277,0.285675,0.323196,0.391128
129,OK,,180.0,111.9993672,6.4959633,143.888889,123.6,2552.579191,56.2790296,0.004141783,5.07043931,0.030921837,5.2e-05,83.6,1.6722,0.030973847,0.285675,0.323196,0.391128
130,OK,,180.0,111.9993672,6.4959633,145.0,123.6,2572.290225,56.7136167,0.003249509,5.50979784,0.033468627,4.06e-05,83.6,1.6722,0.033509212,0.285675,0.323196,0.391128
131,OK,,180.0,117.10851,6.79229358,135.0,123.6,2394.890899,52.8023328,0.102647557,1.60163938,0.01005628,0.001342885,83.6,1.6722,0.011399165,0.285675,0.323196,0.391128
132,OK,,180.0,117.10851,6.79229358,136.111111,123.6,2414.601934,53.2369199,0.057034526,1.95037838,0.012203009,0.000742747,83.6,1.6722,0.012945757,0.285675,0.323196,0.391128
133,OK,,180.0,117.10851,6.79229358,137.222222,123.6,2434.312968,53.671507,0.033783817,2.32257048,0.014479213,0.000437769,83.6,1.6722,0.014916981,0.285675,0.323196,0.391128
